"entidad","tipo_de_fuente","pm_25","co","so2","nox"
"Puebla","Fuentes fijas",9.284,38.683,2424.366,282.029
"Puebla","Fuentes de área",106.562,750.302,2.781,31.949
"Puebla","Fuentes móviles carreteros",49.722,1984.24,14.924,567.05
"Puebla","Fuentes móviles que no circulan por carretera",2.281,10.698,1.032,85.311
"Puebla","Fuentes de área",44.092,304.4,1.075,9.485
"Puebla","Fuentes móviles carreteros",1.377,150.069,0.749,28.463
"Puebla","Fuentes móviles que no circulan por carretera",0.521,2.828,0.307,8.785
"Puebla","Fuentes de área",98.794,694.283,2.523,25.836
"Puebla","Fuentes móviles carreteros",39.963,2571.222,15.661,591.856
"Puebla","Fuentes móviles que no circulan por carretera",0.371,2.014,0.219,6.258
"Puebla","Fuentes de área",100.156,743.883,2.658,28.894
"Puebla","Fuentes móviles carreteros",31.695,1471.863,10.294,387.101
"Puebla","Fuentes móviles que no circulan por carretera",0.577,3.133,0.34,9.733
"Puebla","Fuentes de área",23.806,152.449,0.571,6.206
"Puebla","Fuentes móviles carreteros",0.037,26.389,0.111,4.987
"Puebla","Fuentes móviles que no circulan por carretera",0.109,0.589,0.064,1.83
"Puebla","Fuentes de área",69.792,586.137,2.03,16.883
"Puebla","Fuentes móviles carreteros",2.575,109.823,0.819,31.388
"Puebla","Fuentes móviles que no circulan por carretera",0.086,0.469,0.051,1.458
"Puebla","Fuentes de área",20.555,152.067,0.54,4.361
"Puebla","Fuentes móviles carreteros",0.1,58.861,0.217,8.743
"Puebla","Fuentes móviles que no circulan por carretera",0.085,0.461,0.05,1.433
"Puebla","Fuentes de área",29.837,221.465,0.889,7.651
"Puebla","Fuentes móviles carreteros",53.192,385.934,9.131,294.255
"Puebla","Fuentes móviles que no circulan por carretera",0.364,1.8,0.182,10.986
"Puebla","Fuentes de área",14.363,71.815,0.329,2.598
"Puebla","Fuentes móviles carreteros",1.358,187.275,0.916,35.58
"Puebla","Fuentes móviles que no circulan por carretera",0.115,0.624,0.068,1.939
"Puebla","Fuentes de área",498.74,2554.433,9.741,86.208
"Puebla","Fuentes móviles carreteros",20.491,701.746,5.788,222.385
"Puebla","Fuentes móviles que no circulan por carretera",0.475,2.578,0.28,8.007
"Puebla","Fuentes de área",8.616,66.167,0.231,2.014
"Puebla","Fuentes móviles carreteros",0.143,39.047,0.163,6.333
"Puebla","Fuentes móviles que no circulan por carretera",0.028,0.151,0.016,0.469
"Puebla","Fuentes de área",22.837,142.485,0.774,5.312
"Puebla","Fuentes móviles carreteros",4.269,208.15,1.357,51.572
"Puebla","Fuentes móviles que no circulan por carretera",0.218,1.183,0.129,3.675
"Puebla","Fuentes de área",59.889,455.594,1.712,19.112
"Puebla","Fuentes móviles carreteros",5.567,457.312,2.516,96.039
"Puebla","Fuentes móviles que no circulan por carretera",0.883,4.121,0.396,33.55
"Puebla","Fuentes de área",24.971,204.694,0.71,5.935
"Puebla","Fuentes móviles carreteros",0.53,36.405,0.233,9.672
"Puebla","Fuentes móviles que no circulan por carretera",0.068,0.369,0.04,1.148
"Puebla","Fuentes fijas",22.718,3.048,46.621,18.613
"Puebla","Fuentes de área",74.841,479.177,1.802,38.354
"Puebla","Fuentes móviles carreteros",55.681,2257.302,17.342,652.943
"Puebla","Fuentes móviles que no circulan por carretera",1.425,6.546,0.619,57.058
"Puebla","Fuentes de área",46.974,383.821,1.596,14.615
"Puebla","Fuentes móviles carreteros",2.636,200.734,1.137,44.395
"Puebla","Fuentes móviles que no circulan por carretera",0.13,0.708,0.077,2.199
"Puebla","Fuentes de área",92.702,772.962,2.688,24.134
"Puebla","Fuentes móviles carreteros",5.499,531.338,2.78,103.245
"Puebla","Fuentes móviles que no circulan por carretera",0.313,1.512,0.15,10.505
"Puebla","Fuentes de área",20.143,137.375,0.473,4.051
"Puebla","Fuentes móviles carreteros",0.204,66.031,0.26,10.075
"Puebla","Fuentes móviles que no circulan por carretera",0.152,0.823,0.089,2.556
"Puebla","Fuentes fijas",0.375,2.099,0,12.37
"Puebla","Fuentes de área",207.547,1601.323,5.797,71.936
"Puebla","Fuentes móviles carreteros",74.299,6970.126,37.634,1353.779
"Puebla","Fuentes móviles que no circulan por carretera",2.753,12.917,1.247,102.785
"Puebla","Fuentes de área",17.782,121.627,0.478,5.486
"Puebla","Fuentes móviles carreteros",4.337,325.241,1.844,69.657
"Puebla","Fuentes móviles que no circulan por carretera",0.11,0.595,0.065,1.849
"Puebla","Fuentes fijas",0.002,0.011,0,0.064
"Puebla","Fuentes de área",6.109,38.269,0.344,1.542
"Puebla","Fuentes móviles carreteros",0.938,48.832,0.306,11.881
"Puebla","Fuentes móviles que no circulan por carretera",0.032,0.175,0.019,0.542
