"entidad","causa","tipo_impacto","total_hectareas","fecha_inicio","fecha_termino"
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2015-01-13,2015-01-13
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-01-14,2015-01-14
"Puebla","Actividades agropecuarias","Impacto Mínimo",3,2015-01-16,2015-01-16
"Puebla","Intencional","Impacto Mínimo",10,2015-01-17,2015-01-17
"Puebla","Actividades agropecuarias","Impacto Mínimo",6.5,2015-01-17,2015-01-17
"Puebla","Otras causas","Impacto Mínimo",3.5,2015-01-18,2015-01-18
"Puebla","Intencional","Impacto Mínimo",1,2015-01-19,2015-01-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",6,2015-01-22,2015-01-22
"Puebla","Actividades agropecuarias","Impacto Mínimo",12,2015-01-24,2015-01-25
"Puebla","Intencional","Impacto Mínimo",19,2015-01-28,2015-01-29
"Puebla","Fogatas","Impacto Mínimo",4,2015-01-29,2015-01-29
"Puebla","Otras causas","Impacto Mínimo",1,2015-01-29,2015-01-29
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2015-01-30,2015-01-30
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2015-01-31,2015-01-31
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2015-01-31,2015-01-31
"Puebla","Fumadores","Impacto Mínimo",1.5,2015-01-31,2015-01-31
"Puebla","Quema de basureros","Impacto Mínimo",2,2015-01-31,2015-01-31
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-03,2015-02-03
"Puebla","Intencional","Impacto Mínimo",7,2015-02-01,2015-02-02
"Puebla","Fogatas","Impacto Mínimo",20,2015-01-30,2015-01-30
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2015-02-03,2015-02-03
"Puebla","Intencional","Impacto Mínimo",1,2015-02-06,2015-02-06
"Puebla","Otras causas","Impacto Mínimo",1,2015-02-07,2015-02-07
"Puebla","Intencional","Impacto Mínimo",1.5,2015-02-07,2015-02-07
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-07,2015-02-07
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-09,2015-02-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2015-02-09,2015-02-09
"Puebla","Cazadores","Impacto Mínimo",1,2015-02-10,2015-02-10
"Puebla","Fogatas","Impacto Mínimo",4,2015-02-10,2015-02-10
"Puebla","Actividades agropecuarias","Impacto Mínimo",357,2015-02-06,2015-02-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",7,2015-02-09,2015-02-10
"Puebla","Intencional","Impacto Mínimo",7,2015-02-10,2015-02-11
"Puebla","Intencional","Impacto Mínimo",40,2015-02-10,2015-02-12
"Puebla","Otras causas","Impacto Mínimo",2.5,2015-02-11,2015-02-11
"Puebla","Actividades agropecuarias","Impacto Mínimo",6,2015-02-11,2015-02-11
"Puebla","Actividades agropecuarias","Impacto Mínimo",4,2015-02-13,2015-02-13
"Puebla","Intencional","Impacto Mínimo",1,2015-02-14,2015-02-14
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-02-15,2015-02-15
"Puebla","Fogatas","Impacto Mínimo",2,2015-02-15,2015-02-15
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-15,2015-02-15
"Puebla","Intencional","Impacto Mínimo",1,2015-02-16,2015-02-16
"Puebla","Actividades agropecuarias","Impacto Mínimo",3,2015-02-18,2015-02-18
"Puebla","Intencional","Impacto Mínimo",1,2015-02-19,2015-02-19
"Puebla","Intencional","Impacto Mínimo",4,2015-02-19,2015-02-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2015-02-19,2015-02-19
"Puebla","Intencional","Impacto Mínimo",3.5,2015-02-19,2015-02-20
"Puebla","Intencional","Impacto Mínimo",1,2015-02-20,2015-02-20
"Puebla","Otras causas","Impacto Mínimo",1.5,2015-02-21,2015-02-21
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-21,2015-02-21
"Puebla","Fumadores","Impacto Mínimo",2,2015-02-21,2015-02-21
"Puebla","Fogatas","Impacto Mínimo",1,2015-02-22,2015-02-22
"Puebla","Actividades agropecuarias","Impacto Mínimo",14,2015-02-22,2015-02-23
"Puebla","Fumadores","Impacto Mínimo",1,2015-02-22,2015-02-22
"Puebla","Intencional","Impacto Mínimo",10,2015-02-23,2015-02-23
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2015-02-23,2015-02-23
"Puebla","Otras causas","Impacto Mínimo",6,2015-02-24,2015-02-24
