"entidad","municipio","causa","total_hectareas","fecha_termino"
"Puebla","Cuyoaco","Actividades agropecuarias",2.5,2015-01-13
"Puebla","Tlachichuca","Actividades agropecuarias",1,2015-01-14
"Puebla","Chalchicomula de Sesma","Actividades agropecuarias",3,2015-01-16
"Puebla","Tepeyahualco","Intencional",10,2015-01-17
"Puebla","Tepeyahualco","Actividades agropecuarias",6.5,2015-01-17
"Puebla","Tianguismanalco","Otras causas",3.5,2015-01-18
"Puebla","Libres","Intencional",1,2015-01-19
"Puebla","Tlachichuca","Actividades agropecuarias",6,2015-01-22
"Puebla","Guadalupe Victoria","Actividades agropecuarias",12,2015-01-25
"Puebla","Tepatlaxco de Hidalgo","Intencional",19,2015-01-29
"Puebla","San Nicolás de los Ranchos","Fogatas",4,2015-01-29
"Puebla","Tianguismanalco","Otras causas",1,2015-01-29
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",2,2015-01-30
"Puebla","Tlachichuca","Actividades agropecuarias",2.5,2015-01-31
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",2,2015-01-31
"Puebla","Tlachichuca","Fumadores",1.5,2015-01-31
"Puebla","Xiutetelco","Quema de basureros",2,2015-01-31
"Puebla","Puebla","Actividades agropecuarias",1,2015-02-03
"Puebla","Tlachichuca","Intencional",7,2015-02-02
"Puebla","Tlachichuca","Fogatas",20,2015-01-30
"Puebla","Tlahuapan","Actividades agropecuarias",1.5,2015-02-03
"Puebla","San Nicolás de los Ranchos","Intencional",1,2015-02-06
"Puebla","Tianguismanalco","Otras causas",1,2015-02-07
"Puebla","Tepeyahualco","Intencional",1.5,2015-02-07
"Puebla","Tlahuapan","Actividades agropecuarias",1,2015-02-07
"Puebla","Tlatlauquitepec","Actividades agropecuarias",1,2015-02-09
"Puebla","Lafragua","Actividades agropecuarias",2.5,2015-02-09
"Puebla","Lafragua","Cazadores",1,2015-02-10
"Puebla","San Nicolás de los Ranchos","Fogatas",4,2015-02-10
"Puebla","Cohetzala","Actividades agropecuarias",357,2015-02-09
"Puebla","Tlachichuca","Actividades agropecuarias",7,2015-02-10
"Puebla","Cuyoaco","Intencional",7,2015-02-11
"Puebla","Tecamachalco","Intencional",40,2015-02-12
"Puebla","Tlahuapan","Otras causas",2.5,2015-02-11
"Puebla","Guadalupe Victoria","Actividades agropecuarias",6,2015-02-11
"Puebla","Tlachichuca","Actividades agropecuarias",4,2015-02-13
"Puebla","Tepatlaxco de Hidalgo","Intencional",1,2015-02-14
"Puebla","Chignautla","Actividades agropecuarias",0.5,2015-02-15
"Puebla","San Pedro Cholula","Fogatas",2,2015-02-15
"Puebla","Tlachichuca","Actividades agropecuarias",1,2015-02-15
"Puebla","Tepeyahualco","Intencional",1,2015-02-16
"Puebla","Tlatlauquitepec","Intencional",1,2015-02-16
"Puebla","Tlahuapan","Actividades agropecuarias",3,2015-02-18
"Puebla","Tianguismanalco","Intencional",1,2015-02-19
"Puebla","Tianguismanalco","Intencional",4,2015-02-19
"Puebla","Tlahuapan","Actividades agropecuarias",2,2015-02-19
"Puebla","Tepeaca","Intencional",3.5,2015-02-20
